director_id,name
0,卫立洲
1,彼得·杰克逊
2,邓肯·琼斯
3,梁柏坚
4,梁碧波
5,五百
6,许诚毅
7,保罗·金
8,申宇
9,张超
10,詹姆斯·曼高德
11,克里斯托弗·麦奎里
12,卡先加
13,孙小茹
14,李强
15,刘苗苗
16,秦小鹏
17,傅澍坤
18,韩可一
19,朱员成
20,宝拉·柯特莱西
21,阿兰·泰勒
22,木下高男
23,岩田和行
24,平井秀树
25,埃里克·布雷维格
26,空音央
27,赵世磊
28,何子力
29,保罗·安德森
30,朱葛
31,唐·霍尔
32,克里斯·威廉姆斯
33,张少军
34,克里斯·雷纳德
35,帕特里克·德拉吉
36,齐追航
37,韩延
38,刘伟强
39,张岩
40,黄健
41,张翀
42,许峰
43,覃牧秋
44,詹涵淇
45,高炜
46,安佳星
47,杨泷杰
48,大飞
49,韩新军
50,许慧晶
51,程耳
52,李安东
53,牛明山
54,冯小刚
55,雷献禾
56,卢奇
57,龚贤
58,吕克·贝松
59,西尔维斯特·史泰龙
60,蔡明钦
61,费瑞华
62,孙树培
63,黄伟明
64,哈斯朝鲁
65,刘可欣
66,陈凯歌
67,安德鲁·亚当森
68,韩昀桀
69,张浩宇
70,斋藤圭一郎
71,艾斯彭·山德伯格
72,约阿希姆·伦宁
73,王晶
74,浩瑜
75,克里斯托弗·诺兰
76,樊超
77,宁浩
78,薛晓路
79,王岳伦
80,李鑫
81,刘若英
82,张若以
83,卫铁
84,北野武
85,蒋佳辰
86,杨真
87,黄建新
88,金熙元
89,冯逸
90,康拉德·弗农
91,埃里克·达尼尔
92,汤姆·麦格拉思
93,万玛才旦
94,于博
95,李加雅德
96,韩天
97,苏浩旗
98,杨菲
99,杨锋
100,柯汶利
101,徐克
102,甘剑宇
103,黄真真
104,葛鹏翔
105,徐洁勤
106,李阳
107,马雪
108,岸西
109,佐佐木忍
110,宋阳
111,张吃鱼
112,罗德里戈·科尔特斯
113,张忠
114,文晏
115,郝鸿远
116,黄精甫
117,冯小宁
118,蒋叶峰
119,迈克尔·贝
120,田宇
121,乌尔善
122,乔什·库雷
123,彭发
124,邬浪
125,张一白
126,关锦鹏
127,张艺谋
128,卢德响
129,乔丹·沃格特-罗伯茨
130,叶伟信
131,张国超
132,易小星
133,罗红胜
134,王子昭
135,马克·韦布
136,朱延平
137,苏伟权
138,押山清高
139,三宅唱
140,黄俊铭
141,陈力进
142,王强
143,唐季礼
144,满仲劝
145,张律
146,李珈西
147,孙健君
148,洪宝生
149,龚应恬
150,董飞
151,徐俊
152,任杰
153,巴兹·库里克
154,林永长
155,林汇达
156,丁亮
157,曾国祥
158,李明阳
159,陈玮卿
160,朱塞佩·托纳多雷
161,拉加·高斯内尔
162,郑成峰
163,李芳芳
164,郭思文
165,路阳
166,段国云
167,马基德·马基迪
168,彼特·道格特
169,鲍勃·彼德森
170,安德烈·科林考夫
171,阿列克谢·特斯蒂斯林
172,祁又一
173,瞿才佳
174,龙凌云
175,邵和麒
176,张哲
177,魏鹏伟
178,邵艺辉
179,萧锋
180,吴鹏雄
181,原惠一
182,曾靖雄
183,邹燚
184,史蒂芬·野村·斯奇博
185,毛启超
186,迪恩·戴布洛伊
187,徐昂
188,谢立文
189,克里斯·巴克
190,珍妮弗·李
191,尼娅·达科斯塔
192,迈克尔·格雷西
193,李俊
194,罗伯特·里伯曼
195,泰瑞·麦克多诺
196,杰夫·伍尔诺
197,比尔·约翰逊
198,姚婷婷
199,兰城序
200,柴红芳
201,梁冠尧
202,梁冠舜
203,俞白眉
204,邓超
205,黄子华
206,王家卫
207,陆可
208,宋江波
209,麦兆辉
210,潘耀明
211,徐汉强
212,郭帆
213,布拉德·佩顿
214,谢涤葵
215,马可·帕尼加尼
216,李仁港
217,宋迪
218,范元
219,麦启光
220,黄庆勋
221,张栾
222,李宝玖
223,唐健
224,柯宙
225,梁乐民
226,陆剑青
227,孙海波
228,张荣吉
229,高峰
230,张伟瑚
231,杨琳
232,克里斯·哥伦布
233,唐国强
234,石伟
235,周青元
236,高国峰
237,王森
238,刘艳杰
239,庄潇
240,张冰寒
241,朱浩伟
242,侯克明
243,吴有音
244,梁礼彦
245,徐峥
246,罗森·马歇尔·瑟伯
247,周涛
248,管虎
249,王礼霖
250,李克
251,Dermot
252,高健
253,安东尼·罗素
254,乔·罗素
255,山田智和
256,陈勇
257,杨峻
258,凯尔·巴尔达
259,皮埃尔·柯芬
260,埃里克·吉隆
261,加里斯·爱德华斯
262,蒋昌林
263,郭子健
264,杨圆圆
265,张宝
266,宁海强
267,靪文
268,托尼·米歇尔
269,韦斯·鲍尔
270,热贡·多吉彭措
271,廖希
272,韩平
273,张巳阳
274,吴琼
275,周星驰
276,钟雷
277,八木龙一
278,山崎贵
279,马修·沃恩
280,曾艳
281,刘富源
282,钟彧
283,田晓鹏
284,饶晓志
285,张艾嘉
286,尼蒂兰·萨米纳坦
287,卡尔·布伦克尔
288,邹曦
289,马小刚
290,陆川
291,张唯
292,佩顿·里德
293,Job
294,陈木胜
295,宫崎骏
296,邓楚炜
297,田壮壮
298,林珍钊
299,陈思诚
300,夏永康
301,陈国辉
302,阿隆索·帕拉西奥斯
303,郭卿
304,李玉刚
305,秦一书
306,扎克·施奈德
307,陆磊
308,吴海涛
309,梁君健
310,唐韬
311,刘张铂泷
312,F·加里·格雷
313,庄文强
314,乔·沃茨
315,来牧宽
316,姚文逸
317,谈宜之
318,刘君武
319,高锐
320,吕明晰
321,李萍萍
322,提莫·贝克曼贝托夫
323,陈志宏
324,朱江华
325,费德·阿尔瓦雷兹
326,崔守杰
327,林诣彬
328,丁晟
329,马克·帕兰斯基
330,刘艳臣
331,乔方
332,大卫·雷奇
333,竹内亮
334,郑保瑞
335,杨磊
336,王超
337,刘健
338,唐田
339,徐耿
340,张国立
341,徐浩峰
342,徐骏峰
343,郭广平
344,潘润南
345,胡里奥·索托·古尔皮德
346,柯克·德·米科
347,克里斯·桑德斯
348,安澜
349,罗彤
350,何德格吉日胡
351,马丁·布尔布隆
352,周莉亚
353,韩真
354,张毅
355,付勇
356,Andrey
357,马克西姆·沃尔科夫
358,韩旺增
359,吴炜伦
360,陈小雨
361,王冀邢
362,许宏宇
363,杨帆
364,任钊萱
365,李克龙
366,姜文
367,郑亚旗
368,陈立军
369,罗杰·阿勒斯
370,罗伯·明可夫
371,高希希
372,马帅峰
373,张立嘉
374,张子恩
375,何澄
376,宋晓飞
377,曹保平
378,吴双
379,黄渤
380,梅小青
381,迈克尔·道赫蒂
382,尔冬升
383,陈曦
