年份,影片,类型,总票房（万）,平均票价,场均人次,国家及地区,上映日期
2008年,赤壁(上),动作,"27,490",33,41,中国/中国香港/韩国,2008-07-10
2008年,画皮,爱情,"20,453",30,41,中国/中国香港/新加坡,2008-09-26
2008年,非诚勿扰,爱情,"17,641",34,62,中国/中国香港,2008-12-18
2008年,功夫熊猫,动画,"15,150",27,36,美国,2008-06-20
2008年,功夫之王,动作,"14,560",32,31,美国/中国,2008-04-24
2008年,007：大破量子危机,动作/惊悚,"12,046",31,29,英国/美国,2008-11-05
2008年,木乃伊3,惊悚,"11,000",31,27,德国/加拿大/美国/中国,2008-09-02
2008年,梅兰芳,剧情,"9,739",33,36,中国/中国香港,2008-12-04
2008年,大灌篮,爱情,"9,578",29,30,中国香港/中国台湾/中国,2008-02-08
2008年,全民超人汉考克,动作/喜剧,"9,227",28,31,美国,2008-07-02
2008年,钢铁侠,动作,"7,712",30,26,美国,2008-04-30
2008年,通缉令,惊悚/动作,"7,600",29,26,美国/德国,2008-10-09
2008年,国家宝藏：夺宝秘笈,惊悚,"7,300",31,25,美国,2008-03-17
2008年,史前一万年,科幻,"7,220",29,26,美国/新西兰,2008-03-21
2008年,集结号,剧情,"7,207",30,25,中国香港/中国/韩国,2007-12-20
2008年,纳尼亚传奇2：凯斯宾王子,魔幻,"6,631",29,27,英国/美国,2008-06-06
2008年,叶问,动作,"6,517",30,44,中国香港/中国,2008-12-12
2008年,尼斯湖怪·深水传说,惊悚,"6,280",27,29,美国/英国,2008-02-17
2008年,地心历险记,科幻,"6,025",48,48,美国,2008-09-28
2008年,三国之见龙卸甲,战争,"6,015",29,25,中国/韩国/中国香港,2008-04-03
2008年,无敌浩克,科幻/惊悚,"5,389",28,21,美国,2008-08-20
2008年,十全九美,喜剧,"4,474",24,27,中国,2008-08-01
2008年,保持通话,惊悚,"3,905",27,24,中国/中国香港,2008-09-27
2008年,江山美人,动作,"3,832",28,19,中国香港/中国,2008-03-07
2008年,水啸雾都,灾难/惊悚,"3,578",27,26,英国/南非/加拿大,2008-09-14
2009年,2012,灾难,"44,745",32,68,美国,2009-11-13
2009年,变形金刚2,科幻/动作,"40,364",32,53,美国,2009-06-24
2009年,建国大业,剧情,"39,288",32,54,中国/中国香港,2009-09-16
2009年,赤壁(下),动作,"24,353",34,49,中国/中国香港,2009-01-07
2009年,三枪拍案惊奇,喜剧,"22,011",33,49,中国,2009-12-10
2009年,十月围城,动作,"21,362",34,61,中国/中国香港,2009-12-17
2009年,风声,惊悚,"20,510",33,40,中国/中国香港,2009-09-29
2009年,南京！南京！,剧情,"15,976",30,39,中国/中国香港,2009-04-22
2009年,哈利·波特与混血王子,魔幻/动作,"15,524",31,46,英国/美国,2009-07-15
2009年,冰川时代3,动画,"15,049",44,61,美国,2009-07-08
2009年,特种部队：眼镜蛇的崛起,动作,"12,692",30,39,美国,2009-08-07
2009年,博物馆奇妙夜2,喜剧,"11,310",29,31,美国,2009-05-26
2009年,终结者2018,科幻,"10,957",30,30,美国/德国/英国,2009-06-09
2009年,游龙戏凤,爱情,"10,811",33,36,中国香港/中国,2009-01-26
2009年,疯狂的赛车,喜剧,"10,494",30,37,中国,2009-01-20
2009年,大内密探灵灵狗,喜剧,"10,022",29,42,中国香港/中国,2009-07-30
2009年,非常完美,爱情,"9,194",31,31,韩国/中国,2009-08-13
2009年,窃听风云,剧情,"8,635",29,42,中国香港/中国,2009-07-24
2009年,花木兰,爱情,"8,087",31,38,中国/美国,2009-11-27
2009年,喜羊羊与灰太狼之牛气冲天,动画,"7,960",26,49,中国,2009-01-16
2009年,飞屋环游记,动画,"7,907",43,41,美国,2009-08-04
2009年,金刚狼,动作,"7,695",30,25,美国,2009-05-03
2009年,非诚勿扰,爱情,"7,423",34,33,中国/中国香港,2008-12-18
2009年,麦兜响当当,动画,"7,021",28,41,中国香港/中国,2017-03-17
2009年,七龙珠,动作,"6,500",29,23,美国,2009-03-14
2010年,阿凡达,科幻/动作,"133,983",50,72,美国,2010-01-04
2010年,唐山大地震,剧情,"64,988",37,51,中国/中国香港,2010-07-22
2010年,让子弹飞,喜剧,"47,376",38,62,中国/中国香港,2010-12-16
2010年,盗梦空间,科幻/动作,"46,235",34,50,美国/英国,2010-09-01
2010年,非诚勿扰2,爱情,"32,850",39,62,中国/中国香港,2010-12-22
2010年,狄仁杰之通天帝国,动作,"28,616",33,40,中国/中国香港,2010-09-29
2010年,叶问2：宗师传奇,动作,"22,952",33,36,中国/中国香港,2010-04-27
2010年,爱丽丝梦游仙境,奇幻,"22,874",47,39,美国,2010-03-26
2010年,敢死队,动作,"21,443",32,38,美国,2010-08-20
2010年,哈利·波特与死亡圣器(上),魔幻/动作,"20,987",32,38,英国/美国,2010-11-19
2010年,赵氏孤儿,剧情,"18,004",33,34,中国,2010-12-04
2010年,钢铁侠2,科幻/动作,"17,508",33,33,美国,2010-05-07
2010年,诸神之战,魔幻/动作,"17,113",50,37,美国,2010-04-16
2010年,波斯王子：时之刃,科幻/动作,"15,907",32,35,美国,2010-05-28
2010年,大兵小将,动作,"15,728",32,40,中国/中国香港,2010-02-14
2010年,大笑江湖,喜剧,"15,093",32,32,中国/中国台湾,2010-12-03
2010年,山楂树之恋,爱情,"14,496",33,29,中国,2010-09-15
2010年,锦衣卫,动作,"14,030",33,39,中国/中国香港,2010-02-03
2010年,精武风云·陈真,动作,"13,821",33,33,中国/中国香港,2010-09-21
2010年,生化危机4：战神再生,动作/科幻,"13,548",40,26,美国/德国/法国/英国,2010-11-16
2010年,越光宝盒,喜剧,"13,059",32,31,中国香港/中国,2010-03-18
2010年,全城热恋,爱情,"12,942",34,38,中国/中国香港,2010-02-11
2010年,枪王之王,动作,"12,658",32,35,中国香港/中国,2010-07-02
2010年,杜拉拉升职记,爱情,"12,441",32,31,中国,2010-04-15
